date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,Inflation_USD,Inflation_Local,GDP
2005-06-01,POL,PLN,Poland,6.5,3.3096,1.96398356296833,0.2064470458233999,0.03174603174603177,8021.547890373879
2006-05-01,POL,PLN,Poland,6.5,3.09915,2.09734927318781,0.06790571608344496,0.0,9035.53275810927
2007-06-01,POL,PLN,Poland,6.9,2.75185,2.50740410996239,0.19551099190614452,0.06153846153846159,11254.3140875349
2008-06-01,POL,PLN,Poland,7.0,2.03145,3.44581456595043,0.374255770045027,0.014492753623188354,13995.781159811499
2009-07-01,POL,PLN,Poland,7.6,3.15525,2.4086839394659703,-0.3009827158816936,0.08571428571428566,11525.900737099098
2010-07-01,POL,PLN,Poland,8.3,3.1969,2.5962651318464802,0.07787704700771103,0.09210526315789488,12504.250185609299
2011-07-01,POL,PLN,Poland,8.63,2.7968,3.08566933638444,0.18850316885390378,0.03975903614457832,13776.3883624327
2012-07-01,POL,PLN,Poland,9.1,3.46035,2.6297917840680896,-0.14774024777733127,0.05446118192352246,13010.7555868425
2013-07-01,POL,PLN,Poland,9.2,3.3655,2.7336205615807496,0.03948174838087173,0.01098901098901095,13558.3411314221
2014-07-01,POL,PLN,Poland,9.2,3.0714,2.99537670117862,0.09575437911050338,0.0,14181.9486817352
2015-07-01,POL,PLN,Poland,9.6,3.7736,2.5439898240407004,-0.15069452765667435,0.04347826086956526,12560.051419682
2016-07-01,POL,PLN,Poland,9.6,3.96565,2.42078852142776,-0.048428378702103377,0.0,12378.812810611102
2017-07-01,POL,PLN,Poland,10.1,3.7086,2.7233996656420203,0.12500519625555018,0.052083333333333336,13815.501164767
2018-07-01,POL,PLN,Poland,10.1,3.68695,2.73939163807483,0.00587206227369494,0.0,15504.5075062692
2019-07-09,POL,PLN,Poland,10.8,3.80775,2.83632066180815,0.03538341228253097,0.06930693069306941,15700.0135796738
2020-07-01,POL,PLN,Poland,11.0,3.94345,2.78943564645171,-0.016530223816989233,0.01851851851851845,15816.819050319
2000-04-01,THA,THB,Thailand,55.0,38.0,1.4473684210526299,,,2004.1070589103101
2001-04-01,THA,THB,Thailand,55.0,45.5,1.2087912087912098,-0.16483516483516314,0.0,1889.9714107983398
2002-04-01,THA,THB,Thailand,55.0,43.3,1.2702078521940001,0.05080831408776284,0.0,2091.1789031213298
2003-04-01,THA,THB,Thailand,59.0,42.7,1.38173302107728,0.08780072386629094,0.07272727272727272,2350.84549582551
2004-05-01,THA,THB,Thailand,59.0,40.8,1.44607843137255,0.04656862745098371,0.0,2647.26073263886
2005-06-01,THA,THB,Thailand,60.0,40.53,1.4803849000740201,0.023723795305423324,0.01694915254237288,2876.2457729313896
